,Año,Trimestre,Ingresos (miles de pesos),Periodo
35,2014,1,2984054,Ene-Mar 2014
34,2014,2,3270816,Abr-Jun 2014
33,2014,3,3478637,Jul-Sept 2014
32,2014,4,3950440,Oct-Dic 2014
31,2015,1,4876385,Ene-Mar 2015
30,2015,2,4701790,Abr-Jun 2015
29,2015,3,5153738,Jul-Sept 2015
28,2015,4,5376899,Oct-Dic 2015
27,2016,1,5936844,Ene-Mar 2016
26,2016,2,6534240,Abr-Jun 2016
25,2016,3,6912441,Jul-Sept 2016
24,2016,4,7483980,Oct-Dic 2016
23,2017,1,8701201,Ene-Mar 2017
22,2017,2,9678646,Abr-Jun 2017
21,2017,3,10065997,Jul-Sept 2017
20,2017,4,11226127,Oct-Dic 2017
19,2018,1,13171459,Ene-Mar 2018
18,2018,2,14319467,Abr-Jun 2018
17,2018,3,15410980,Jul-Sept 2018
16,2018,4,16637686,Oct-Dic 2018
15,2019,1,20207413,Ene-Mar 2019
14,2019,2,20743117,Abr-Jun 2019
13,2019,3,21652748,Jul-Sept 2019
12,2019,4,24169250,Oct-Dic 2019
11,2020,1,29946216,Ene-Mar 2020
10,2020,2,32102475,Abr-Jun 2020
9,2020,3,31997444,Jul-Sept 2020
8,2020,4,33539702,Oct-Dic 2020
7,2021,1,36676371,Ene-Mar 2021
6,2021,2,38239666,Abr-Jun 2021
5,2021,3,42999944,Jul-Sept 2021
4,2021,4,45467887,Oct-Dic 2021
3,2022,1,55219313,Ene-Mar 2022
2,2022,2,60419500,Abr-Jun 2022
1,2022,3,64086784,Jul-Sept 2022
0,2022,4,72443482,Oct-Dic 2022
