,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Nuevo acceso
0,2022,4,Buenos Aires,78.94,80.5188
1,2022,4,Capital Federal,122.73,125.1846
2,2022,4,Catamarca,65.77,67.08539999999999
3,2022,4,Chaco,43.62,44.492399999999996
4,2022,4,Chubut,85.57,87.28139999999999
5,2022,4,Córdoba,89.03,90.81060000000001
6,2022,4,Corrientes,51.64,52.6728
7,2022,4,Entre Ríos,64.01,65.29020000000001
8,2022,4,Formosa,39.41,40.1982
9,2022,4,Jujuy,58.46,59.629200000000004
10,2022,4,La Pampa,94.8,96.696
11,2022,4,La Rioja,79.86,81.4572
12,2022,4,Mendoza,51.36,52.3872
13,2022,4,Misiones,52.85,53.907000000000004
14,2022,4,Neuquén,78.67,80.24340000000001
15,2022,4,Río Negro,68.42,69.78840000000001
16,2022,4,Salta,57.96,59.1192
17,2022,4,San Juan,50.88,51.897600000000004
18,2022,4,San Luis,90.27,92.0754
19,2022,4,Santa Cruz,43.53,44.400600000000004
20,2022,4,Santa Fe,78.4,79.968
21,2022,4,Santiago Del Estero,48.05,49.010999999999996
22,2022,4,Tierra Del Fuego,101.44,103.4688
23,2022,4,Tucumán,61.04,62.2608
24,2022,3,Buenos Aires,78.11,79.6722
25,2022,3,Capital Federal,122.28,124.7256
26,2022,3,Catamarca,65.33,66.6366
27,2022,3,Chaco,43.86,44.7372
28,2022,3,Chubut,84.38,86.0676
29,2022,3,Córdoba,88.31,90.0762
30,2022,3,Corrientes,48.21,49.1742
31,2022,3,Entre Ríos,63.67,64.9434
32,2022,3,Formosa,43.76,44.6352
33,2022,3,Jujuy,58.91,60.0882
34,2022,3,La Pampa,96.59,98.5218
35,2022,3,La Rioja,80.66,82.2732
36,2022,3,Mendoza,51.03,52.0506
37,2022,3,Misiones,51.82,52.8564
38,2022,3,Neuquén,80.37,81.9774
39,2022,3,Río Negro,67.98,69.3396
40,2022,3,Salta,57.76,58.9152
41,2022,3,San Juan,50.8,51.815999999999995
42,2022,3,San Luis,81.74,83.3748
43,2022,3,Santa Cruz,43.19,44.053799999999995
44,2022,3,Santa Fe,78.55,80.121
45,2022,3,Santiago Del Estero,47.98,48.9396
46,2022,3,Tierra Del Fuego,99.51,101.5002
47,2022,3,Tucumán,61.14,62.3628
48,2022,2,Buenos Aires,77.58,79.1316
49,2022,2,Capital Federal,121.31,123.73620000000001
50,2022,2,Catamarca,62.4,63.647999999999996
51,2022,2,Chaco,43.79,44.6658
52,2022,2,Chubut,83.19,84.85379999999999
53,2022,2,Córdoba,87.48,89.2296
54,2022,2,Corrientes,48.35,49.317
55,2022,2,Entre Ríos,63.9,65.178
56,2022,2,Formosa,43.42,44.2884
57,2022,2,Jujuy,57.32,58.4664
58,2022,2,La Pampa,92.98,94.8396
59,2022,2,La Rioja,80.14,81.7428
60,2022,2,Mendoza,49.39,50.3778
61,2022,2,Misiones,51.0,52.02
62,2022,2,Neuquén,80.02,81.6204
63,2022,2,Río Negro,67.85,69.207
64,2022,2,Salta,57.54,58.6908
65,2022,2,San Juan,49.46,50.449200000000005
66,2022,2,San Luis,81.76,83.3952
67,2022,2,Santa Cruz,43.15,44.013
68,2022,2,Santa Fe,77.9,79.45800000000001
69,2022,2,Santiago Del Estero,47.7,48.654
70,2022,2,Tierra Del Fuego,99.86,101.8572
71,2022,2,Tucumán,59.31,60.4962
72,2022,1,Buenos Aires,76.07814661157262,77.59970954380407
73,2022,1,Capital Federal,111.79786269174652,114.03381994558144
74,2022,1,Catamarca,58.20635083561171,59.370477852323944
75,2022,1,Chaco,44.05948009941883,44.9406697014072
76,2022,1,Chubut,88.05274093835774,89.8137957571249
77,2022,1,Córdoba,85.75745356313551,87.47260263439823
78,2022,1,Corrientes,47.644635141502334,48.59752784433238
79,2022,1,Entre Ríos,63.70090347123158,64.97492154065621
80,2022,1,Formosa,34.955686995751336,35.65480073566636
81,2022,1,Jujuy,58.06462866426784,59.2259212375532
82,2022,1,La Pampa,91.66332531408715,93.49659182036889
83,2022,1,La Rioja,78.77459866564503,80.35009063895794
84,2022,1,Mendoza,48.73524093558345,49.70994575429512
85,2022,1,Misiones,49.04334199772953,50.02420883768412
86,2022,1,Neuquén,74.17305509992715,75.6565162019257
87,2022,1,Río Negro,67.03640754987029,68.3771357008677
88,2022,1,Salta,56.10759340849759,57.22974527666754
89,2022,1,San Juan,43.54598160933163,44.41690124151827
90,2022,1,San Luis,80.72423060601774,82.33871521813809
91,2022,1,Santa Cruz,43.33842311053054,44.20519157274116
92,2022,1,Santa Fe,77.30458474758402,78.8506764425357
93,2022,1,Santiago Del Estero,47.17273839324049,48.1161931611053
94,2022,1,Tierra Del Fuego,98.29055038672794,100.2563613944625
95,2022,1,Tucumán,57.39003227231194,58.53783291775818
96,2021,4,Buenos Aires,75.66410602338475,77.17738814385244
97,2021,4,Capital Federal,111.27002612891737,113.49542665149572
98,2021,4,Catamarca,55.2526999859741,56.35775398569358
99,2021,4,Chaco,44.04856389025934,44.929535168064525
100,2021,4,Chubut,82.57340063871433,84.22486865148862
101,2021,4,Córdoba,84.50941853046088,86.1996069010701
102,2021,4,Corrientes,45.51016102946347,46.420364250052735
103,2021,4,Entre Ríos,63.155361436165784,64.4184686648891
104,2021,4,Formosa,34.4545746388443,35.14366613162119
105,2021,4,Jujuy,56.921070514870486,58.0594919251679
106,2021,4,La Pampa,89.56734270241313,91.3586895564614
107,2021,4,La Rioja,77.9234900964576,79.48195989838675
108,2021,4,Mendoza,47.505317090317746,48.4554234321241
109,2021,4,Misiones,49.06462073058497,50.04591314519667
