,Año,Trimestre,Provincia,Accesos por cada 100 hab
0,2022,4,Buenos Aires,26.72
1,2022,4,Capital Federal,50.35
2,2022,4,Catamarca,16.73
3,2022,4,Chaco,11.66
4,2022,4,Chubut,26.23
5,2022,4,Córdoba,27.26
6,2022,4,Corrientes,13.6
7,2022,4,Entre Ríos,19.14
8,2022,4,Formosa,10.03
9,2022,4,Jujuy,14.95
10,2022,4,La Pampa,31.23
11,2022,4,La Rioja,21.26
12,2022,4,Mendoza,14.33
13,2022,4,Misiones,14.39
14,2022,4,Neuquén,23.41
15,2022,4,Río Negro,21.04
16,2022,4,Salta,14.04
17,2022,4,San Juan,12.96
18,2022,4,San Luis,25.83
19,2022,4,Santa Cruz,12.95
20,2022,4,Santa Fe,24.65
21,2022,4,Santiago Del Estero,11.92
22,2022,4,Tierra Del Fuego,30.07
23,2022,4,Tucumán,15.12
24,2022,3,Buenos Aires,26.37
25,2022,3,Capital Federal,50.22
26,2022,3,Catamarca,16.62
27,2022,3,Chaco,11.72
28,2022,3,Chubut,25.86
29,2022,3,Córdoba,27.04
30,2022,3,Corrientes,12.69
31,2022,3,Entre Ríos,19.04
32,2022,3,Formosa,11.14
33,2022,3,Jujuy,15.06
34,2022,3,La Pampa,31.82
35,2022,3,La Rioja,21.47
36,2022,3,Mendoza,14.24
37,2022,3,Misiones,14.11
38,2022,3,Neuquén,23.92
39,2022,3,Río Negro,20.91
40,2022,3,Salta,13.99
41,2022,3,San Juan,12.94
42,2022,3,San Luis,23.39
43,2022,3,Santa Cruz,12.85
44,2022,3,Santa Fe,24.7
45,2022,3,Santiago Del Estero,11.91
46,2022,3,Tierra Del Fuego,29.5
47,2022,3,Tucumán,15.14
48,2022,2,Buenos Aires,26.12927127832741
49,2022,2,Capital Federal,49.873561256261084
50,2022,2,Catamarca,15.871790195247085
51,2022,2,Chaco,11.70254390369554
52,2022,2,Chubut,25.499919336270644
53,2022,2,Córdoba,26.781590841133493
54,2022,2,Corrientes,12.732146965383649
55,2022,2,Entre Ríos,19.10468595065942
56,2022,2,Formosa,11.049814591140093
57,2022,2,Jujuy,14.656913524540677
58,2022,2,La Pampa,30.632721559665786
59,2022,2,La Rioja,21.331409216914373
60,2022,2,Mendoza,13.782233784570575
61,2022,2,Misiones,13.89002818196789
62,2022,2,Neuquén,23.81745752817118
63,2022,2,Río Negro,20.867543527383393
64,2022,2,Salta,13.936010557448652
65,2022,2,San Juan,12.597912455631214
66,2022,2,San Luis,23.396972678771853
67,2022,2,Santa Cruz,12.83962283852644
68,2022,2,Santa Fe,24.495906799164608
69,2022,2,Santiago Del Estero,11.836737968128928
70,2022,2,Tierra Del Fuego,29.60495526496903
71,2022,2,Tucumán,14.6914572899128
72,2022,1,Buenos Aires,25.563030152028354
73,2022,1,Capital Federal,46.01434762144353
74,2022,1,Catamarca,14.805619574995312
75,2022,1,Chaco,11.775342040436145
76,2022,1,Chubut,26.988759663104396
77,2022,1,Córdoba,26.255262218351167
78,2022,1,Corrientes,12.545281287312793
79,2022,1,Entre Ríos,19.04540527092108
80,2022,1,Formosa,8.896427435598431
81,2022,1,Jujuy,14.847641828629394
82,2022,1,La Pampa,30.200415031402574
83,2022,1,La Rioja,20.96917417226944
84,2022,1,Mendoza,13.5994765497552
85,2022,1,Misiones,13.357539336702546
86,2022,1,Neuquén,22.07746042609429
87,2022,1,Río Negro,20.61822984084394
88,2022,1,Salta,13.588166053353753
89,2022,1,San Juan,11.092116468606637
90,2022,1,San Luis,23.101656231687382
91,2022,1,Santa Cruz,12.894297328809571
92,2022,1,Santa Fe,24.307396998934415
93,2022,1,Santiago Del Estero,11.706882132029497
94,2022,1,Tierra Del Fuego,29.13865104068589
95,2022,1,Tucumán,14.215533334298076
96,2021,4,Buenos Aires,25.36251411440295
97,2021,4,Capital Federal,45.848510714562856
98,2021,4,Catamarca,14.054223759225387
99,2021,4,Chaco,11.772399458164147
100,2021,4,Chubut,25.309325144656967
101,2021,4,Córdoba,25.873153715537683
102,2021,4,Corrientes,11.983198552620907
103,2021,4,Entre Ríos,18.88227767661483
104,2021,4,Formosa,8.768865242200624
105,2021,4,Jujuy,14.555241944242491
106,2021,4,La Pampa,29.509892061530994
107,2021,4,La Rioja,20.742382050283958
108,2021,4,Mendoza,13.25625900699059
109,2021,4,Misiones,13.363319043268442
110,2021,4,Neuquén,21.817563119077384
111,2021,4,Río Negro,20.205613568445425
112,2021,4,Salta,13.759337691497715
113,2021,4,San Juan,10.084133235970333
114,2021,4,San Luis,22.97895624197615
115,2021,4,Santa Cruz,12.808821353847454
116,2021,4,Santa Fe,24.23965799751964
117,2021,4,Santiago Del Estero,11.675440470480114
118,2021,4,Tierra Del Fuego,29.171007839182543
119,2021,4,Tucumán,13.852880446424063
120,2021,3,Buenos Aires,23.96989190399953
121,2021,3,Capital Federal,45.90038346526859
122,2021,3,Catamarca,13.407472376612356
123,2021,3,Chaco,11.48213456009956
124,2021,3,Chubut,24.738375502880167
125,2021,3,Córdoba,24.885957628675673
126,2021,3,Corrientes,11.8228555121759
127,2021,3,Entre Ríos,18.590565595869126
128,2021,3,Formosa,8.643582187295351
129,2021,3,Jujuy,14.240381868423986
130,2021,3,La Pampa,27.767891191051227
131,2021,3,La Rioja,20.565964530219404
132,2021,3,Mendoza,12.710228113581037
133,2021,3,Misiones,12.411772581325813
134,2021,3,Neuquén,20.74816202113861
135,2021,3,Río Negro,19.05925062746504
136,2021,3,Salta,13.55352602212216
137,2021,3,San Juan,10.050236642022515
138,2021,3,San Luis,22.857408818789526
139,2021,3,Santa Cruz,13.016254371883871
140,2021,3,Santa Fe,23.58815244581783
141,2021,3,Santiago Del Estero,11.660736690891678
142,2021,3,Tierra Del Fuego,28.150170112829368
143,2021,3,Tucumán,13.533446775711843
144,2021,2,Buenos Aires,23.35247372787298
145,2021,2,Capital Federal,45.48719048129489
146,2021,2,Catamarca,13.313748671467298
147,2021,2,Chaco,11.580041340539402
148,2021,2,Chubut,22.159781771420207
149,2021,2,Córdoba,24.528406291253745
150,2021,2,Corrientes,11.465064580129559
151,2021,2,Entre Ríos,18.435680632917915
152,2021,2,Formosa,8.456293049570467
153,2021,2,Jujuy,14.366784069218694
154,2021,2,La Pampa,27.043558440191944
155,2021,2,La Rioja,20.49158509575061
156,2021,2,Mendoza,11.433847066800618
157,2021,2,Misiones,12.26014659485293
158,2021,2,Neuquén,20.58023612564588
159,2021,2,Río Negro,19.052051860128394
160,2021,2,Salta,13.303441391384512
161,2021,2,San Juan,10.00671906693712
162,2021,2,San Luis,23.89055527674358
163,2021,2,Santa Cruz,13.096756425784957
164,2021,2,Santa Fe,23.60478745301367
165,2021,2,Santiago Del Estero,11.554388875216853
166,2021,2,Tierra Del Fuego,20.126647945777083
167,2021,2,Tucumán,13.606163819728007
168,2021,1,Buenos Aires,22.998353975762015
169,2021,1,Capital Federal,44.82699016464177
170,2021,1,Catamarca,12.438278918256517
171,2021,1,Chaco,11.528896477487843
172,2021,1,Chubut,21.147838315076264
173,2021,1,Córdoba,24.061371645661506
174,2021,1,Corrientes,11.234115869536096
175,2021,1,Entre Ríos,18.070581721504354
176,2021,1,Formosa,8.330895284429907
177,2021,1,Jujuy,14.226045966500736
178,2021,1,La Pampa,26.943299898725044
179,2021,1,La Rioja,13.258360163449572
180,2021,1,Mendoza,10.926002451479471
181,2021,1,Misiones,11.758811611223322
182,2021,1,Neuquén,19.895917331182986
183,2021,1,Río Negro,18.724905657874665
184,2021,1,Salta,13.061128426236175
185,2021,1,San Juan,9.948368694803314
186,2021,1,San Luis,23.24883515831701
187,2021,1,Santa Cruz,12.391825403443834
188,2021,1,Santa Fe,23.242382186130484
189,2021,1,Santiago Del Estero,11.334871169032645
190,2021,1,Tierra Del Fuego,22.9312154304354
191,2021,1,Tucumán,13.57896382467824
192,2020,4,Buenos Aires,22.90151153254686
193,2020,4,Capital Federal,44.833968426782796
194,2020,4,Catamarca,12.567459308545084
195,2020,4,Chaco,11.50064617804086
196,2020,4,Chubut,20.950871174621614
197,2020,4,Córdoba,23.904978675681004
198,2020,4,Corrientes,11.172002734788627
199,2020,4,Entre Ríos,17.78197083072765
200,2020,4,Formosa,8.268390853815193
201,2020,4,Jujuy,13.669623117135359
202,2020,4,La Pampa,26.940422171804798
203,2020,4,La Rioja,13.339129511730942
204,2020,4,Mendoza,10.779753857792285
205,2020,4,Misiones,11.614898792582805
206,2020,4,Neuquén,19.943555550895127
207,2020,4,Río Negro,18.789319055171752
208,2020,4,Salta,13.088389057411085
209,2020,4,San Juan,9.251858120163535
210,2020,4,San Luis,23.375314368474104
211,2020,4,Santa Cruz,11.008682660661702
212,2020,4,Santa Fe,23.136769743176906
213,2020,4,Santiago Del Estero,10.857437164805166
214,2020,4,Tierra Del Fuego,22.609569143137627
215,2020,4,Tucumán,13.57016980842894
216,2020,3,Buenos Aires,22.410088053440287
217,2020,3,Capital Federal,44.62274289719256
218,2020,3,Catamarca,11.995288801288368
219,2020,3,Chaco,11.102767361905425
220,2020,3,Chubut,20.94871530485329
221,2020,3,Córdoba,23.029708353509868
222,2020,3,Corrientes,10.993613616681577
223,2020,3,Entre Ríos,17.398110879051448
224,2020,3,Formosa,8.120337229392224
225,2020,3,Jujuy,13.820037033679931
226,2020,3,La Pampa,26.115702018823033
227,2020,3,La Rioja,13.341312020771634
228,2020,3,Mendoza,10.422355488053226
229,2020,3,Misiones,11.331798537010407
230,2020,3,Neuquén,19.42045929269766
231,2020,3,Río Negro,17.54802558517
232,2020,3,Salta,12.670239307125406
233,2020,3,San Juan,9.88083251128296
234,2020,3,San Luis,22.8839263803681
235,2020,3,Santa Cruz,10.697207032526524
236,2020,3,Santa Fe,22.677710522681583
237,2020,3,Santiago Del Estero,10.76484130094044
238,2020,3,Tierra Del Fuego,22.771515363810202
239,2020,3,Tucumán,13.184990703555616
240,2020,2,Buenos Aires,21.552858404836318
